SID,SNameCH,SNameEN,Lon,Lat,Ele,FromYear,ToYear,Lose
51818,皮山,Pishan,37.37,78.17,1375.4,1959,2010,
51828,和田,Hetian,37.08,79.56,1374.5,1954,2010,
51839,民丰,Minfeng,37.04,82.43,1409.3,1957,2010,
51886,茫崖,Mangya,38.15,90.51,2944.8,1959,2010,
51931,于田,Yutian,36.51,81.39,1422,1956,2010,
52602,冷湖,Lenghu,38.45,93.2,2770,1957,2010,
52633,托勒,Tuole,38.48,98.25,3367,1957,2010,
52645,野牛沟,Yeniugou,38.25,99.35,3320,1960,2010,
52652,张掖,Zhangye,38.56,100.26,1482.7,1951,2010,
52657,祁连,Qilian,38.11,100.15,2787.4,1957,2010,
52661,山丹,Shandan,38.48,101.05,1764.6,1953,2010,
52674,永昌,Yongchang,38.14,101.58,1976.1,1959,2010,
52707,小灶火,Xiaozhaohuo,36.48,93.41,2767,1961,2010,缺197404---197412
52713,大柴旦,Dacaidan,37.51,95.22,3173.2,1957,2010,
52737,德令哈,Delingha,37.22,97.22,2981.5,1956,2010,
52754,刚察,Gangcha,37.2,100.08,3301.5,1958,2010,
52765,门源,Menyuan,37.23,101.37,2850,1957,2010,
52818,格尔木,Geermu,36.25,94.54,2807.6,1956,2010,缺199312
52825,诺木洪,Nuomuhong,36.26,96.25,2790.4,1957,2010,
52836,都兰,Dulan,36.18,98.06,3191.1,1954,2010,
52842,茶卡,Chaka,36.47,99.05,3087.6,1956,2010,
52856,恰卜恰,Qiabuqia,36.16,100.37,2835,1953,2010,
52866,西宁,Xining,36.43,101.45,2295.2,1954,2010,
52876,民和,Minhe,36.19,102.57,1813.9,1957,2010,缺199202
52908,伍道梁,Wudaoliang,35.13,93.05,4612.2,1957,2010,
52943,兴海,Xinghai,35.35,99.59,3323.2,1960,2010,
52957,同德,Tongde,35.16,100.39,3289.4,1955,2010,缺195810
52968,泽库,Zeku,35.02,101.28,3662.8,1958,2010,缺195805
52974,同仁,Tongren,35.31,102.01,2491.4,1991,2010,
55228,狮泉河,Shiquanhe,32.3,80.05,4278,1961,2010,
55248,改则,Gaize,32.09,84.25,4414.9,1973,2010,
55279,班戈,Bange,31.23,90.01,4700,1957,2010,
55294,安多,Anduo,32.21,91.06,4800,1966,2010,
55299,那曲,Naqu,31.29,92.04,4507,1955,2010,缺199410-199412
55437,普兰,Pulan,30.17,81.15,3900,1973,2010,
55472,申扎,Shenzha,30.57,88.38,4672,1960,2010,
55493,当雄,Dangxiong,30.29,91.06,4200,1962,2010,
55569,拉孜,Lazi,29.05,87.36,4000,1978,2010,
55572,南木林,Nanmulin,29.41,89.06,4000,2005,2010,
55578,日喀则,Rikeze,29.15,88.53,3836,1956,2010,
55585,尼木,Nimu,29.26,90.1,3809.4,1974,2010,
55589,贡噶,Gongga,29.18,90.59,3555,2005,2010,
55591,拉萨,Lasa,29.4,91.08,3648.7,1955,2010,
55593,墨竹贡卡,Muzugongka,29.51,91.44,3804,2005,2010,
55598,泽当,Zedang,29.15,91.46,3551.7,1957,2010,缺195811---195911
55655,聂拉尔,Lielaer,28.11,85.58,3810,1967,2010,
55664,定日,Dingri,28.38,87.05,4300,1959,2010,缺196908---197009
55680,江孜,Jiangzi,28.55,89.36,4040,1957,2010,
55681,浪卡子,Langkazi,28.58,90.24,4431.7,2005,2010,
55690,错那,Cuona,27.59,91.57,4280,1967,2010,
55696,隆子,Longzi,28.25,92.28,3860,1960,2010,
55773,帕里,Pali,27.44,89.05,4300,1957,2010,
56004,托托河,Tuotuohe,34.13,92.26,4533.1,1957,2010,缺195805
56016,治多,Zhiduo,33.51,95.36,4179,1962,2010,缺196112、196205---196706
56018,杂多,Zaduo,32.54,95.18,4066.4,1957,2010,
56021,曲麻莱,Qumalai,34.08,95.47,4175,1957,2010,缺196208---196212
56029,玉树,Yushu,33.01,97.01,3681.2,1952,2010,
56033,玛多,Maduo,34.55,98.13,4272.3,1953,2010,
56034,清水河,Qingshuihe,33.48,97.08,4415.4,1957,2010,
56038,石渠,Shiqu,32.59,98.06,4200,1961,2010,
56043,果洛,Guoluo,34.28,100.15,3719,1991,2010,
56046,达日,Dari,33.45,99.39,3967.5,1956,2010,
56065,河南,Henan,34.44,101.36,3500,1960,2010,缺199301
56067,久治,Jiuzhi,33.26,101.29,3628.5,1959,2010,缺196204、196205
56106,索县,Suoxian,31.53,93.47,4022.8,1957,2010,
56109,比如,Biru,31.29,93.47,3940,1991,2010,
56116,丁青,Dingqing,31.25,95.36,3873.1,1954,2010,缺195902―195911、196906―196908
56125,囊谦,Nangqian,32.12,96.29,3643.7,1957,2010,缺195808
56128,类鸟齐,Leiniaoqi,31.13,96.36,3810,2005,2010,
56137,昌都,Changdou,31.09,97.1,3306,1954,2010,
56144,德格,Dege,31.48,98.35,3184,1957,2010,
56146,甘孜,Ganzi,31.37,100,3393.5,1951,2010,
56151,班玛,Banma,32.56,100.45,3530,1961,2010,缺196204---196504
56152,色达,Seda,32.17,100.2,3893.9,1961,2010,
56167,道孚,Daofou,30.59,101.07,2957.2,1958,2010,
56171,阿坝,Aba,32.54,101.42,3275.1,1955,2010,缺196809―196811、199103
56172,马尔康,Maerkang,31.54,102.14,2664.4,1954,2010,
56202,嘉黎,Jiali,30.4,93.17,4488.8,1955,2010,缺195503---195609、195707---196012
56223,洛隆,Luolong,30.45,95.5,3640,1992,2010,
56227,波密,bomi,29.52,95.46,2736,1955,2010,缺195611、195706---196012
56228,八宿,Basu,30.03,96.55,3260,2005,2010,
56247,巴塘,Batang,30,99.06,2589.2,1953,2010,缺195604、195605、195612-195704、195712-195812、196805―196812
56251,新龙,Xinlong,30.56,100.19,3000,1960,2010,
56257,理塘,Litang,30,100.16,3948.9,1953,2010,缺196709、196801---196807、196905---196908
56307,加查,Jiacha,29.09,92.35,3260,2005,2010,
56312,林芝,Linzhi,29.4,94.2,2991.8,1954,2010,缺195404、195705---195910
56317,米芝,Mizhi,29.13,194.13,2950,2005,2010,
56331,左贡,Zuogong,29.4,97.5,3780,1978,2010,
56342,茫康,Mangkang,29.41,98.36,3870,2005,2010,
56357,稻城,Daocheng,29.03,100.18,3727.7,1957,2010,缺196805
56374,康定,Kangding,30.03,101.58,2615.7,1952,2010,
56434,察隅,Chayu,28.39,97.28,2327.6,1966,2010,缺196601---196901
56441,得荣,Derong,28.43,99.17,2422.9,1960,2010,缺196709、196711---197004
56444,德钦,Deqin,28.29,98.55,3319,1953,2010,
56459,木里,Muli,27.56,101.16,2426.5,1959,2010,
56462,九龙,Jiulong,29,101.3,2987.3,1953,2010,
56533,贡山,Gongshan,27.45,98.4,1583.3,1958,2010,
56543,中甸,Zhongdian,27.5,99.42,3276.1,1958,2010,
56548,维西,Weixi,27.1,99.17,2325.6,1955,2010,
